NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;RR;QRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TNTXM;QTNTXM;TAMPLI;QTAMPLI;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;FFM;QFFM;FF2M;QFF2M;FXY;QFXY;DXY;QDXY;HXY;QHXY;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S
 75106001;LUXEMBOURG;48.844667;2.333833;46;20230101;4.6;1;11.7;1;1450;9;15.3;1;2304;9;13.6;1;13.5;1;3.6;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75106001;LUXEMBOURG;48.844667;2.333833;46;20230102;1.4;1;10.0;1;1755;9;12.9;1;1322;9;10.7;1;11.5;1;2.9;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75106001;LUXEMBOURG;48.844667;2.333833;46;20230103;1.6;1;5.7;1;252;9;11.2;1;539;9;8.4;1;8.5;1;5.5;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75106001;LUXEMBOURG;48.844667;2.333833;46;20230104;0.4;1;9.5;1;1801;9;14.3;1;1949;9;12.5;1;11.9;1;4.8;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75106001;LUXEMBOURG;48.844667;2.333833;46;20230105;0.4;1;11.9;1;1724;9;14.1;1;1326;9;12.9;1;13.0;1;2.2;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75106001;LUXEMBOURG;48.844667;2.333833;46;20230106;0.0;1;10.9;1;309;9;13.6;1;1443;9;12.0;1;12.3;1;2.7;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75106001;LUXEMBOURG;48.844667;2.333833;46;20230107;3.2;1;8.2;1;744;9;11.5;1;1229;9;10.4;1;9.9;1;3.3;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75106001;LUXEMBOURG;48.844667;2.333833;46;20230108;1.8;1;8.1;1;702;9;11.6;1;1351;9;9.7;1;9.9;1;3.5;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75106001;LUXEMBOURG;48.844667;2.333833;46;20230109;3.6;1;6.6;1;1740;9;9.8;1;1205;9;7.7;1;8.2;1;3.2;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 75106001;LUXEMBOURG;48.844667;2.333833;46;20230110;4.0;1;5.1;1;507;9;12.7;1;313;9;8.1;1;8.9;1;7.6;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
